S101B.CARD.  1. CARD ONE 
"S101B.Q44. IN YOUR OPINION, WHAT SHOULD BE DONE WITH MEN WHO CRACK UP IN ACTION, THAT IS, MEN WHO GET SHELL-SHOCKED, BLOW THEIR TOPS, GO HAYWIR?  1. MOST OF THEM SHOULD BE TREATED AS SICK MEN 2. MOST OF THEM SHOULD BE TREATED AS COWARDS AND PUNISHED 3. MOST OF THEM SHOULD BE TREATED SOME OTHER WAY 0. NO ANSWER X. QUESTIONS 45A, 45B AND 46 NOT CODED. "
"S101B.Q47A. WHEN THE GOING WAS TOUGH, HOW MUCH DID IT HELP YOU TO THINK THAT YOU HAD TO FINISH THE JOB IN ORDER TO GET HOME AGAI?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 0. NO ANSWER "
"S101B.Q47B. WHEN THE GOING WAS TOUGH, HOW MUCH DID IT HELP YOU TO THINK THAT YOU COULDN'T LET THE OTHER MEN DOW?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 0. NO ANSWER "
"S101B.Q47C. WHEN THE GOING WAS TOUGH, HOW MUCH DID IT HELP YOU TO THINK OF WHAT WE ARE FIGHTING FO?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 0. NO ANSWER "
"S101B.Q47D. WHEN THE GOING WAS TOUGH, HOW MUCH WERE YOU HELPED BY THOUGHTS OF HATRED FOR THE ENEM?  1. THEY HELPED A LOT 2. THEY HELPED SOME 3. THEY HELPED A LITTLE 4. THEY DID NOT HELP AT ALL 5. I DIDN'T HAVE SUCH THOUGHTS 0. NO ANSWER "
"S101B.Q47E. WHEN THE GOING WAS TOUGH, HOW MUCH DID PRAYER HELP YO?  1. IT HELPED A LOT 2. IT HELPED SOME 3. IT HELPED A LITTLE 4. IT DID NOT HELP AT ALL 5. I DIDN'T THINK OF IT 0. NO ANSWER X. QUESTIONS 48A AND 48B NOT CODED. "
"S101B.Q49. CONSIDER THE FOLLOWING STATEMENT: ""COMPANY OFFICERS WHO HAVE SHOWED LITTLE CONCERN FOR THE WELFARE OF THEIR MEN BEFORE COMBAT OFTEN TURN OUT TO BE SUCCESSFUL LEADERS OF MEN IN BATTLE."" WHAT HAVE YOU OBSERVED ON THIS POIN?  1. THIS HAPPENS VERY OFTEN 2. THIS HAPPENS, THOUGH NOT VERY OFTEN 3. I NEVER KNEW OF SUCH A CASE 4. I NEVER KNEW ANY OFFICERS WHO SHOWED LITTLE CONCERN FOR THE WELFARE OF THEIR MEN BEFORE BATTLE 0. NO ANSWER "
S101B.Q50A. DO YOU THINK YOU WERE IN TOUGH ENOUGH PHYSICAL CONDITION AT THE TIME YOU WENT INTO YOUR FIRST BATTL?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S101B.Q50B. IN GENERAL, WHAT SORT OF PHYSICAL CONDITION WOULD YOU SAY YOU ARE IN AT THE PRESENT TIM?  1. VERY GOOD PHYSICAL CONDITION 2. GOOD PHYSICAL CONDITION 3. FAIR PHYSICAL CONDITION 4. POOR PHYSICAL CONDITION 5. VERY POOR PHYSICAL CONDITION 0. NO ANSWER "
S101B.Q50C. DO YOU THINK YOUR MEN WERE IN TOUGH ENOUGH PHYSICAL CONDITION AT THE TIME YOU WENT INTO YOUR FIRST BATTL?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
"S101B.Q50D. IN GENERAL, WHAT SORT OF PHYSICAL CONDITION WOULD YOU SAY YOUR MEN ARE IN AT THE PRESENT TIM?  1. VERY GOOD PHYSICAL CONDITION 2. GOOD PHYSICAL CONDITION 3. FAIR PHYSICAL CONDITION 4. POOR PHYSICAL CONDITION 5. VERY POOR PHYSICAL CONDITION 0. NO ANSWER "
S101B.Q51A. DO YOU THINK THE ARMY TRIED HARD ENOUGH TO GET GOOD FOOD TO YOU AT THE BATTLE FRON?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER 
S101B.Q51B. DO YOU THINK THE ARMY TRIED HARD ENOUGH TO GET MAIL REGULARLY TO YOU AT THE BATTLE FRON?  1. YES 2. NO 3. UNDECIDED 0. NO ANSWER X. QUESTION 52 NOT CODED. 
S101B.Q53A. IS THERE ANY TYPE OF TRAINING YOU THINK NEW TROOPS SHOULD BE GETTING MORE OF BEFORE BEING SENT INTO YOUR OUTFIT AS REPLACEMENT?  1. YES 2. NO 0. NO ANSWER 
"S101B.Q53B. IS THERE ANY TYPE OF TRAINING WHICH YOU THINK NEW TROOPS GET TOO MUCH OF BECAUSE IT DOES NOT HELP IN BATTL?  1. YES, THEY GET TOO MUCH 2. NO, THEY NEED EVERYTHING THEY GET 0. NO ANSWER "
"S101B.Q54A. ""I WANT VERY MUCH TO GET INTO IT AS SOON AS POSSIBLE*"" E. OFFICERS, ESTIMATE: PERCENTAGE OF ENLISTED MEN WHO WOULD CHOOSE THIS STATEMENT AS THEIR ATTITUDE.  ANP (ACTUAL NUMBER PERCENTAGES) 01. 1 % . . . 75. 75% 00. NONE, NO ANSWER "
"S101B.Q54B. ""I AM READY TO GO ANYTIME*"" E. OFFICERS, ESTIMATE: PERCENTAGE OF ENLISTED MEN WHO WOULD CHOOSE THIS STATEMENT AS THEIR ATTITUDE.  ANP (ACTUAL NUMBER PERCENTAGES) 01. 1 % . . . 95. 95% 00. NONE, NO ANSWER "
"S101B.Q54C. ""I HOPE I WON'T HAVE TO GO BUT IF I DO I THINK I WILL DO ALL RIGHT*"" E. OFFICERS, ESTIMATE: PERCENTAGE OF ENLISTED MEN WHO WOULD CHOOSE THIS STATEMENT AS THEIR ATTITUDE.  ANP (ACTUAL NUMBER PERCENTAGES) 01. 1% . . . 98. 98% 99.100% 00. NONE, NO ANSWER "
"S101B.Q54D. ""I HOPE I WON'T HAVE TO GO BECAUSE I DON'T THINK I WOULD DO VERY WELL*"" E. OFFICERS, ESTIMATE: PERCENTAGE OF ENLISTED MEN WHO WOULD CHOOSE THIS STATEMENT AS THEIR ATTITUDE.  ANP (ACTUAL NUMBER PERCENTAGES) 01. 1% . . . 75. 75% 00. NONE, NO ANSWER "
"S101B.Q54E. NONE OF THE ABOVE FITS (ENLISTED MAN WOULD WRITE IN HIS OWN STATEMENT) E. OFFICERS, ESTIMATE: PERCENTAGE OF ENLISTED MEN WHO WOULD CHOOSE THIS STATEMENT AS THEIR ATTITUDE.  ANP (ACTUAL NUMBER PERCENTAGES) 01. 1% . . . 95. 95% 99.100% 00. NONE, NO ANSWER "
"S101B.Q55A. BEFORE YOU WENT INTO COMBAT FOR THE FIRST TIME, HOW MUCH CONFIDENCE DID YOU HAVE IN YOURSEL?  1. HAD A LOT OF CONFIDENCE IN MYSELF 2. HAD A FAIR AMOUNT OF CONFIDENCE IN MYSELF 3. HAD LITTLE CONFIDENCE IN MYSELF 4. HAD NO CONFIDENCE IN MYSELF 0. NO ANSWER "
"S101B.Q55B. DID YOU HAVE MORE OR LESS CONFIDENCE IN YOURSELF, THE MORE TIMES YOU WENT INTO COMBA?  1. HAD MORE CONFIDENCE, THE MORE TIMES I WENT INTO COMBAT 2. HAD LESS CONFIDENCE, THE MORE TIMES I WENT INTO COMBAT 3. HAD ABOUT THE SAME AMOUNT OF CONFIDENCE IN MYSELF, THE MORE TIMES I WENT INTO COMBAT 4. UNDECIDED 0. NO ANSWER "
"S101B.Q56. IF THE GERMANS WERE TO OFFER TO STOP FIGHTING NOW AND TO GIVE UP ALL THE COUNTRIES AND TERRITORY THEY HAVE TAKEN OVER, WHAT DO YOU THINK WE SHOULD D?  1. WE SHOULD ACCEPT THE OFFER AND STOP FIGHTING NOW 2. WE SHOULD CONSIDER THE OFFER AND TRY TO WORK OUT SOME PEACE TERMS WITH THEM 3. WE SHOULD TURN DOWN THE OFFER AND KEEP ON FIGHTING UNTIL THEY GIVE UP COMPLETELY 4. UNDECIDED 0. NO ANSWER "
"S101B.Q57. IF THE JAPANESE WERE TO OFFER TO STOP FIGHTING NOW AND TO GIVE UP ALL THE COUNTRIES AND TERRITORY THEY HAVE TAKEN OVER, WHAT DO YOU THINK WE SHOULD D?  1. WE SHOULD ACCEPT THE OFFER AND STOP FIGHTING NOW 2. WE SHOULD CONSIDER THE OFFER AND TRY TO WORK OUT SOME PEACE TERMS WITH THEM 3. WE SHOULD TURN DOWN THE OFFER AND KEEP ON FIGHTING UNTIL THEY GIVE UP COMPLETELY 4. UNDECIDED 0. NO ANSWER "
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  1. FINANCIAL MATTERS 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  48 1. MY HEALTH 219 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  32 1. THE PHYSICAL DANGER I MIGHT BE FACED WITH BEFORE THE WAR IS OVER 235 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  15 1. THE PROGRESS OF THE WAR 252 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  81 1. WHAT IS GOING TO HAPPEN TO ME AFTER THE WAR 186 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  52 1. BEING A LONG WAY FROM HOME 215 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  61 1. MATTERS CONCERNING MY FAMILY OR FRIENDS BACK HOME 206 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  31. THE WAY I AM GETTING ALONG IN THE ARMY 237 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  35 1. NEWS ABOUT NATIONAL EVENTS IN THE U.S. 232 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  31. NOT KNOWING WHAT IS GOING TO HAPPEN NEXT 237 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  37 1. WHAT WILL HAPPEN IN THE U.S. AFTER THE WAR 230 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  21. WHETHER WE WILL GET WHAT WE ARE FIGHTING FOR 247 2. NOT CHOSEN 
S101B.Q58. DURING THE PAST MONTH WHICH TWO OF THE FOLLOWING HAVE WORRIED OR BOTHERED YOU MOS?  61. PURELY PERSONAL MATTERS NOT INCLUDED ABOVE (COLUMNS 61-72) 207 2. NOT CHOSEN 
S101B.Q59. HOW DO YOU FEEL ABOUT THE JOB SPECIAL SERVICE DID FOR THE MEN WHEN THEY CAME OUT OF BATTL?  1. USUALLY VERY GOOD 2. USUALLY PRETTY GOOD 3. USUALLY PRETTY BAD 4. USUALLY VERY BAD 0. NO ANSWER 
"S101B.Q60A. ALL TOLD, FROM THE TIME HE LEAVES THE UNITED STATES TO THE TIME HE RETURNS, ABOUT HOW LONG DO YOU THINK THE AVERAGE COMBAT SOLDIER (WHO HAS BEEN THROUGH THE FIGHTING WHICH YOUR DIVISION HAS BEEN THROUGH) CAN REMAIN OVERSEAS BEFORE HIS PHYSICAL EFFICIENCY BECOMES SO LOW THAT IT SERIOUSLY IMPAIRS HIS VALUE AS A SOLDIE?  1. 1 YEAR 2. 1 1/2 YEARS 3. 2 YEARS 4. 2 1/2 YEARS 5. 3 YEARS OR LONGER 6. I HAVE NO IDEA 0. NO ANSWER "
"S101B.Q60B. ALL TOLD, FROM THE TIME HE LEAVES THE UNITED STATES TO THE TIME HE RETURNS, ABOUT HOW LONG DO YOU THINK THE AVERAGE COMBAT SOLDIER (WHO HAS BEEN THROUGH THE FIGHTING WHICH YOUR DIVISION HAS BEEN THROUGH) CAN REMAIN OVERSEAS BEFORE HIS MORALE BECOMES SO LOW THAT IT SERIOUSLY IMPAIRS HIS VALUE AS A SOLDIE?  1. 1 YEAR 2. 1 1/2 YEARS 3. 2 YEARS 4. 2 1/2 YEARS 5. 3 YEARS OR LONGER 6. I HAVE NO IDEA "
"S101B.Q61A. SUPPOSE YOU WERE PERMITTED TO SEND A FEW ABLE-BODIED ENLISTED MEN FROM YOUR COMPANY HOME TO THE UNITED STATES UNDER A ROTATION PROGRAM. TAKING INTO ACCOUNT THE EFFECTS ON THE GENERAL MORALE, WHICH OF THE FOLLOWING TYPES OF MEN WOULD YOU GIVE PREFERENCE T? E. FIRST PREFERENCE:  1. NONCOMS 2. MEN OVER 30 YEARS OF AGE 3. MEN WHO HAVE BEEN OVERSEAS LONGEST 4. MEN WHO HAVE BEEN IN COMBAT MOST 5. MARRIED MEN 6. ANSWERED INCORRECTLY E. SECOND PREFERENCE: "
"S101B.Q61A. SUPPOSE YOU WERE PERMITTED TO SEND A FEW ABLE-BODIED ENLISTED MEN FROM YOUR COMPANY HOME TO THE UNITED STATES UNDER A ROTATION PROGRAM. TAKING INTO ACCOUNT THE EFFECTS ON THE GENERAL MORALE, WHICH OF THE FOLLOWING TYPES OF MEN WOULD YOU GIVE PREFERENCE T? E. FIRST PREFERENCE:  2 1. NONCOMS 17 2. MEN OVER 30 YEARS OF AGE 88 3. MEN WHO HAVE BEEN OVERSEAS LONGEST 67 4. MEN WHO HAVE BEEN IN COMBAT MOST 42 5. MARRIED MEN 6. ANSWERED INCORRECTLY 40 0. NO ANSWER "
S101B.Q61B. DO YOU THINK IT WOULD BE A GOOD IDEA OR A POOR IDEA TO CHOOSE MEN BY LOT TO BE RETURNED TO THE UNITED STATES UNDER A ROTATION PROGRA?  1. IT WOULD BE A VERY GOOD IDEA 2. IT WOULD BE A GOOD IDEA 3. IT WOULD BE A POOR IDEA 4. IT WOULD BE A VERY POOR IDEA 5. UNDECIDED 0. NO ANSWER X. QUESTION 62 NOT CODED. 
S101B.V63. IDENTIFICATION OF SAMPLE GROUPS WITHIN THE 25TH INFANTRY DIVISION:  1. 27TH INFANTRY 2. 35TH INFANTRY 3. 161ST INFANTRY 4. DIV. ARTILLERY 
