S085.CARD.  1. CARD ONE 
"S085.Q74C. RANKS THIRD IN IMPORTANC?  1004 1. CHECKED 3, RANKED 3 16 2. CHECKED 3, RANK NOT INDICATED 9 3. CHECKED 2, RANKED 2 0 4. CHECKED 2, RANK NOT INDICATED 4 5. CHECKED ONLY ONE 6 6. CHECKED MORE THAN 3, RANK NOT INDICATED 9 0. NO ANSWER "
"S085.Q75. IN YOUR OPINION, HOW MUCH EMPHASIS DOES THE CURRENT TRAINING PROGRAM IN YOUR ARM OR SERVICE GIVE TO TRAINING ENLISTED MEN IN THE USE OF THEIR EQUIPMENT AND WEAPON?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER "
S085.Q76. DURING YOUR TRAINING FOR DUTY AS AN OFFICER DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO TRAIN MEN IN THE USE OF THEIR EQUIPMENT AND WEAPON?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 0. NO ANSWER 
S085.Q77. HOW IMPORTANT DO YOU THINK IT IS FOR ENLISTED MEN TO HAVE A FEELING OF PRIDE IN THEIR OUTFI?  1. IT IS ABSOLUTELY NECESSARY 2. IT IS GREAT IMPORTANCE 3. IT IS OF MEDIUM IMPORTANCE 4. IT IS OF LITTLE IMPORTANCE 5. IT IS OF NO IMPORTANCE AT ALL 0. NO ANSWER 
"S085.Q78. IN YOUR OPINION, HOW MUCH EMPHASIS DO MOST OFFICERS IN YOUR ARM OR SERVICE PUT ON DEVELOPING A FEELING OF PRIDE IN OUTFIT AMONG THEIR ME?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER "
"S085.Q79. WHILE BEING TRAINED FOR DUTY AS AN OFFICER, DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO DEVELOP A FEELING OF PRIDE IN OUTFIT AMONG SOLDIER?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 5. NO ANSWER 0. NO CODE OR NO DATA "
S085.Q80. HOW IMPORTANT DO YOU THINK IT IS FOR SOLDIERS TO HAVE A CLEAR UNDERSTANDING OF THE THINGS THEY ARE FIGHTING FO?  1. IT IS ABSOLUTELY NECESSARY 2. IT IS OF GREAT IMPORTANCE 3. IT IS OF MEDIUM IMPORTANCE 4. IT IS OF LITTLE IMPORTANCE 5. IT IS OF NO IMPORTANCE AT ALL 6. NO ANSWER 0. NO CODE OR NO DATA 
S085.Q81. HOW MUCH EMPHASIS WOULD YOU SAY MOST OFFICERS IN YOUR ARM OR SERVICE PUT ON DEVELOPING AND MAINTAINING AMONG THE MEN A BELIEF IN THE IMPORTANCE OF THE THINGS WE ARE FIGHTING FO?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER 
"S085.Q82. WHILE BEING TRAINED FOR DUTY AS AN OFFICER, DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO DEVELOP AND MAINTAIN AMONG THE MEN A BELIEF IN THE IMPORTANCE OF THE THINGS WE ARE FIGHTING FO?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 5. NO ANSWER 0. NO CODE OR NO DATA "
"S085.Q83. IN YOUR OPINION, HOW MUCH EMPHASIS DOES THE CURRENT TRAINING PROGRAM IN YOUR ARM OR SERVICE GIVE TO TRAINING THE MEN IN INDIVIDUAL DEFENSE MEASURES AND SELF-PROTECTION TACTIC?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER "
S085.Q84. DURING YOUR TRAINING FOR DUTY AS AN OFFICER DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO TRAIN MEN IN INDIVIDUAL DEFENSE MEASURES AND SELF-PROTECTION TACTIC?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 0. NO ANSWER 
"S085.Q85. IN YOUR OPINION, HOW MUCH EMPHASIS DOES THE CURRENT TRAINING PROGRAM FOR TROOPS IN YOUR ARM OR SERVICE GIVE TO TEACHING MILITARY COURTES?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER "
"S085.Q86. WHILE BEING TRAINED FOR DUTY AS AN OFFICER, DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO TEACH MILITARY COURTES?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 0. NO ANSWER "
S085.Q87. HOW IMPORTANT DO YOU THINK IT IS FOR ENLISTED MEN TO FEEL THAT THEIR OFFICERS HAVE A PERSONAL INTEREST IN THEIR INDIVIDUAL WELFAR?  1. IT IS ABSOLUTELY NECESSARY 2. IT IS OF GREAT IMPORTANCE 3. IT IS OF MEDIUM IMPORTANCE 4. IT IS OF LITTLE IMPORTANCE 5. IT IS OF NO IMPORTANCE AT ALL 0. NO ANSWER 
"S085.Q88. IN YOUR OPINION, HOW MUCH EMPHASIS DO MOST OFFICERS IN YOUR ARM OR SERVICE PUT ON TAKING A PERSONAL INTEREST IN THE WELFARE OF EACH OF THEIR ME?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER "
"S085.Q89. DURING YOUR TRAINING FOR DUTY AS AN OFFICER, DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO HANDLE PERSONAL PROBLEMS AFFECTING THE WELFARE OF THE INDIVIDUAL SOLDIE?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 0. NO ANSWER "
S085.Q90. HOW IMPORTANT DO YOU THINK IT IS FOR ENLISTED MEN TO FEEL THAT THEIR OUTFIT HAS A VITAL MISSIO?  1. IT IS ABSOLUTELY NECESSARY 2. IT IS OF GREAT IMPORTANCE 3. IT IS OF MEDIUM IMPORTANCE 4. IT IS OF LITTLE IMPORTANCE 5. IT IS OF NO IMPORTANCE AT ALL 0. NO ANSWER 
S085.Q91. IN YOUR OPINION HOW MUCH EMPHASIS DO MOST OFFICERS IN YOUR ARM OR SERVICE PUT ON SHOWING ENLISTED MEN THE IMPORTANCE OF THEIR OUTFIT'S JOB TO THE SUCCESS OF COMBAT OPERATION?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER 
"S085.Q92. WHILE BEING TRAINED FOR DUTY AS AN OFFICER, DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO SHOW MEN THE IMPORTANCE OF THEIR OUTFIT'S JOB TO THE SUCCESS OF COMBAT OPERATION?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 0. NO ANSWER "
"S085.Q93. IN YOUR OPINION, HOW MUCH EMPHASIS DOES THE CURRENT TRAINING PROGRAM IN YOUR ARM OR SERVICE GIVE TO CLOSE ORDER DRIL?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER "
S085.Q94. DURING YOUR TRAINING FOR DUTY AS AN OFFICER DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO TEACH CLOSE ORDER DRIL?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 5. NO ANSWER 0. NO CODE OR NO DATA 
"S085.Q95. IN YOUR OPINION, HOW MUCH EMPHASIS DOES THE CURRENT TRAINING PROGRAM IN YOUR ARM OR SERVICE GIVE TO PHYSICAL TRAINING AND CONDITIONIN?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 5. NO ANSWER 0. NO CODE OR NO DATA "
S085.Q96. WHILE BEING TRAINED FOR DUTY AS AN OFFICER DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN HOW TO PUT ON AN EFFECTIVE PROGRAM OF PHYSICAL CONDITIONING FOR TROOP?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 0. NO ANSWER 
S085.Q97. HOW IMPORTANT DO YOU THINK IT IS FOR ENLISTED MEN TO LIKE THE JOBS THEY ARE ASSIGNED T?  1. IT IS ABSOLUTELY NECESSARY 2. IT IS OF GREAT IMPORTANCE 3. IT IS OF MEDIUM IMPORTANCE 4. IT IS OF LITTLE IMPORTANCE 5. IT IS OF NO IMPORTANCE AT ALL 0. NO ANSWER 
S085.Q98. HOW MUCH EMPHASIS WOULD YOU SAY MOST OFFICERS IN YOUR ARM OR SERVICE PUT ON ARRANGING FOR RE-ASSIGNMENTS OR DOING OTHER THINGS TO REDUCE JOB DISSATISFACTION AMONG ENLISTED ME?  1. TOO MUCH 2. ABOUT THE RIGHT AMOUNT 3. NOT QUITE ENOUGH 4. MUCH TOO LITTLE 0. NO ANSWER 
"S085.Q99. DURING YOUR TRAINING FOR DUTY AS AN OFFICER, DO YOU THINK YOU SHOULD HAVE HAD MORE INSTRUCTION OR LESS INSTRUCTION IN WHAT TO DO ABOUT DISSATISFACTION WITH JOB ASSIGNMENTS AMONG ENLISTED ME?  1. I SHOULD HAVE HAD MUCH MORE 2. I SHOULD HAVE HAD A LITTLE MORE 3. I HAD ABOUT THE RIGHT AMOUNT 4. I SHOULD HAVE HAD LESS 0. NO ANSWER "
"S085.Q100A. DID YOU SEE ""PRELUDE TO WAR""* (THIS SHOWS HOW JAPAN, ITALY AND GERMANY PREPARED FOR WAR. IT COMPARES THE FREE WORLD AND THE SLAVE WORLD. IT BEGINS WITH THE JAP ATTACK ON CHINA AND ENDS WITH ITALY'S ATTACK ON ETHIOPIA.)  1. YES 2. NO 0. NO ANSWER "
"S085.Q100B. DID YOU SEE ""THE NAZIS STRIKE""* (THIS SHOWS HOW GERMANY TOOK OVER AUSTRIA AND CZECHOSLOVAKIA AND THEN INVADED POLAND.)  1. YES 2. NO 0. NO ANSWER "
"S085.Q100C. DID YOU SEE ""DIVIDE AND CONQUER""* (THIS SHOWS THE GERMAN INVASION OF NORWAY, THE LOW COUNTRIES, AND THE DEFEAT OF FRANCE.)  1. YES 2. NO 0. NO ANSWER "
"S085.Q100D. DID YOU SEE ""THE BATTLE OF BRITAIN""* (THIS SHOWS THE GERMAN AIR BOMBINGS OF ENGLAND RIGHT AFTER THE DEFEAT OF FRANCE.)  1. YES 2. NO 0. NO ANSWER E. NUMBER OF MOVIES SEEN: "
"S085.Q100D. DID YOU SEE ""THE BATTLE OF BRITAIN""* (THIS SHOWS THE GERMAN AIR BOMBINGS OF ENGLAND RIGHT AFTER THE DEFEAT OF FRANCE.)  97 1. SAW 1 MOVIE 131 2. SAW 2 MOVIES 237 3. SAW 3 502 4. SAW 4 71 5. SAW NONE 10 0. NO ANSWER P. HERE ARE A FEW QUESTIONS WHICH ASK ABOUT CURRENT EVENTS. THESE QUESTIONS ARE NOT A TEST OF YOUR PERSONAL KNOWLEDGE, AND YOU CANNOT BE ""GRADED"". THEY ARE BEING ASKED SIMPLY TO DETERMINE THE GENERAL LEVEL OF INFORMATION ABOUT CURRENT EVENTS AMONG OFFICERS. BUT - THESE QUESTIONS WILL HAVE NO VALUE IF YOU DISCUSS THEM WITH OTHERS WHILE ANSWERING THEM. X. QUESTIONS 101A AND 101B TO BE CODED TOGETHER. "
"S085.Q101A. HAVE YOU EVER HEARD OF THE ""FOUR FREEDOMS""* (FREEDOM OF SPEECH OR PRESS, FREEDOM OF RELIGION, FREEDOM FROM FEAR, FREEDOM FROM WANT)  Q.101B. HOW MANY OF THE FOUR FREEDOMS CAN YOU NAM?  1. YES, AND NAMES ONE CORRECTLY 2. YES, AND NAMES TWO CORRECTLY 3. YES, AND NAMES THREE CORRECTLY 4. YES, AND NAMES ALL FOUR CORRECTLY 5. YES, BUT NAMES NONE CORRECTLY OR DOESN'T ANSWER Q.101B 6. NO IN Q.101A, NEVER HEARD OF FOUR FREEDOMS IN Q.101B 7. DON'T KNOW IN Q.101A 8. AN ANSWER WHICH FITS NONE OF THE ABOVE OR NO ANSWER 0. NO ANSWER TO ANY PART OF QUESTION 101 "
S085.Q102E. MAJOR JAPANESE STRONGHOLD IN THE ALEUTIANS EVACUATED BY ITS GARRISON JUST BEFORE INVASION BY AMERICAN FORCE?  1. NAMES 1 CORRECTLY 2. NAMES 2 CORRECTLY 3. NAMES 3 CORRECTLY 4. NAMES 4 CORRECTLY 5. NAMES 5 CORRECTLY 6. NAMES NONE CORRECTLY 0. NO ANSWER AT ALL TO Q.102 
S085.Q103I. COMMANDING GENERAL OF THE AMERICAN SEVENTH ARM?  01. NAMES 1 CORRECTLY 02. NAMES 2 CORRECTLY 03. NAMES 3 CORRECTLY 04. NAMES 4 CORRECTLY 05. NAMES 5 CORRECTLY 06. NAMES 6 CORRECTLY 07. NAMES 7 CORRECTLY 08. NAMES 8 CORRECTLY 09. NAMES 9 CORRECTLY 10. NAMES NONE CORRECTLY 00. NO ANSWER AT ALL TO Q.103 
"S085.Q104E. CITY IN WHICH ROOSEVELT, CHURCHILL AND CHIANG KAI-SHEK ME?  1. NAMES 1 CORRECTLY 2. NAMES 2 CORRECTLY 3. NAMES 3 CORRECTLY 4. NAMES 4 CORRECTLY 5. NAMES 5 CORRECTLY 6. NAMES NONE CORRECTLY 0. NO ANSWER AT ALL TO Q.104 "
"S085.V106. BELIEF IN MISSION SCOR E. DERIVED FROM QUESTIONS 24, 25, 27, 28, 29. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V107. FAVORABLENESS TOWARD ORIENTATION AND TRAINING SCOR E. DERIVED FROM QUESTIONS 78, 81, 88, 91, 98, 75, 83, 85, 93, 95. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V108. BELIEF IN ARMY FAIRNESS AND INTEREST SCOR E. DERIVED FROM QUESTIONS 19, 22, 37, 39B, 40, 46, 47, 49. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V109. ZEAL SCOR E. DERIVED FROM QUESTIONS 56, 61, 51, 38, 39A, 60, 57, 58. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V110. ATTITUDE TOWARD DISCIPLINE SCOR E. DERIVED FROM QUESTIONS 21, 35, 41, 42, 43, 44, 45. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V111. JOB SATISFACTION SCOR E. DERIVED FROM QUESTIONS 15, 16, 17, 20. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V112. PERSONAL ADJUSTMENT SCOR E. DERIVED FROM QUESTIONS 96, 98, 100A. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V113. PRIDE IN OUTFIT SCOR E. DERIVED FROM QUESTIONS 30, 31, 32, 33, 34. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V114. FAITH IN DOMESTIC FUTURE SCOR E. DERIVED FROM QUESTIONS 67, 68, 70, 71. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V115. FAITH IN INTERNATIONAL FUTURE SCOR E. DERIVED FROM QUESTIONS 62, 63, 64, 65, 66. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V116. ATTITUDE TOWARD SUPERIOR OFFICERS SCOR E. DERIVED FROM QUESTIONS 37, 39B, 40, 47. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
"S085.V117. TYPES OF RESPONSES TO POST WAR FOREIGN POLICY SCOR E. DERIVED FROM QUESTIONS 20-23, 26-27. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION.  "
S085.V118. CAMP AND OUTFIT IDENTIFICATION. X. CODES NOT PROVIDED BY SURVEY ORGANIZATION. DATA TRANSFERRED AS IS.  ANP 
