S101F.CARD.,S101F.DECK.,S101F.BALLOT.,S101F.FORM.,S101F.Q1.,S101F.Q2.,S101F.Q3.,S101F.Q4.,S101F.Q5.,S101F.Q5..1,S101F.Q6B.,S101F.Q7.,S101F.Q8.,S101F.Q9A.,S101F.Q9B.,S101F.Q9C.,S101F.Q9D.,S101F.Q11.,S101F.Q12.,S101F.Q13.,S101F.Q14.,S101F.Q15.,S101F.Q16.,S101F.Q17.,S101F.Q18.,S101F.Q19.,S101F.Q20.,S101F.Q21A.,S101F.Q21B.,S101F.Q22.,S101F.Q23.,S101F.Q24.,S101F.Q25.,S101F.Q26A.,S101F.Q26B.,S101F.Q27.,S101F.Q28.,S101F.Q29.,S101F.Q30A.,S101F.Q30B.,S101F.Q30C.,S101F.Q30D.,S101F.Q31A.,S101F.Q31B.,S101F.Q31C.,S101F.Q31D.,S101F.Q31E.,S101F.Q31F.,S101F.Q31G.,S101F.Q31H.,S101F.Q31I.,S101F.Q31J.,S101F.Q31K.,S101F.Q31L.,S101F.Q31M.,S101F.Q31N.,S101F.Q31O.,S101F.Q31P.,S101F.Q31Q.,S101F.Q31R.,S101F.Q31S.,S101F.Q31T.,S101F.Q32.,S101F.Q33.,S101F.Q34.,S101F.Q35A.,S101F.Q35B.,S101F.Q36A.,S101F.Q36B.,S101F.Q36C.,S101F.Q36D.,S101F.CARD..1,S101F.DECK..1,S101F.BALLOT..1,S101F.FORM..1,S101F.Q36E.,S101F.Q36F.,S101F.Q36G.,S101F.Q36I.,S101F.Q36J.,S101F.Q37A.,S101F.Q37B.,S101F.Q38.,S101F.Q39.,S101F.Q40A.,S101F.Q40B.,S101F.Q42.,S101F.Q43A.,S101F.Q43B.,S101F.Q43C.,S101F.Q43D.,S101F.Q43E.,S101F.Q43F.,S101F.Q43G.,S101F.Q43H.,S101F.Q43I.,S101F.Q43J.,S101F.Q44.,S101F.Q47A.,S101F.Q47B.,S101F.Q47C.,S101F.Q47D.,S101F.Q47E.,S101F.Q49.,S101F.Q50A.,S101F.Q50B.,S101F.Q50C.,S101F.Q50D.,S101F.Q51A.,S101F.Q51B.,S101F.Q53A.,S101F.Q53B.,S101F.Q54A.,S101F.Q54B.,S101F.Q54C.,S101F.Q54D.,S101F.Q54E.,S101F.Q55A.,S101F.Q55B.,S101F.Q56.,S101F.Q57.,S101F.Q58.,S101F.Q58..1,S101F.Q58..2,S101F.Q58..3,S101F.Q58..4,S101F.Q58..5,S101F.Q58..6,S101F.Q58..7,S101F.Q58..8,S101F.Q58..9,S101F.Q58..10,S101F.Q58..11,S101F.Q58..12,S101F.Q59.,S101F.Q60A.,S101F.Q60B.,S101F.Q61A.,S101F.Q61A..1,S101F.Q61B.,S101F.V63.
1,101,30,5,2,5,1,4,10,1,3,4,4,1,2,3,1,1,3,1,1,2,2,3,1,1,8,1,3,2,2,1,1,1,1,2,1,1,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,1,4,4,4,1,4,3,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,30,5,1,1,3,1,11,4,141,14,34,4,4,3,4,4,4,4,4,1,5,5,5,2,5,1,1,2,1,3,1,1,1,1,0,0,0,0,9,9,0,0,0,0,2,3,3,3,2,2,2,2,2,2,2,1,2,2,2,1,2,2,6,3,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,31,5,2,5,2,2,5,4,6,4,4,1,2,1,2,1,3,1,1,2,2,3,1,1,8,2,3,2,3,1,2,2,1,2,2,3,1,2,1,1,4,4,4,1,2,1,1,4,4,4,4,2,1,1,4,4,4,1,4,4,4,1,4,3,3,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,31,5,1,1,1,1,12,1,141,13,23,4,4,4,4,4,4,4,3,1,1,1,1,1,2,1,1,3,1,3,1,1,1,2,0,5,4,5,0,0,0,0,5,0,2,3,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,3,3,2,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,32,5,3,5,1,3,5,4,3,4,8,1,1,1,1,3,3,1,1,2,2,2,1,1,8,1,2,3,2,1,1,1,2,3,2,3,2,2,3,2,1,2,4,4,4,4,2,4,4,4,2,2,4,4,4,1,1,2,4,4,3,1,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,32,5,1,1,1,1,13,1,141,11,44,4,4,4,4,4,4,4,4,1,3,1,5,1,5,3,2,3,3,3,1,2,1,2,0,0,0,0,9,9,0,0,0,0,3,1,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,2,5,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,33,5,2,6,3,4,1,3,4,4,6,1,2,1,3,3,3,1,1,2,2,3,1,1,0,0,0,2,2,1,2,1,1,4,2,2,2,2,2,2,4,2,4,1,4,1,4,4,4,4,4,2,4,4,4,2,4,2,4,4,4,2,2,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,33,5,1,1,1,1,11,1,123,31,12,4,2,2,4,3,4,4,4,1,2,1,5,1,5,4,1,2,1,2,1,1,1,1,0,5,2,0,5,0,2,5,0,0,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,3,4,3,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,34,5,2,5,2,4,2,3,4,4,4,1,2,2,2,3,3,2,2,2,2,3,1,1,8,1,3,2,5,2,2,1,1,6,1,1,2,1,2,2,4,4,4,4,4,1,4,4,4,4,1,2,1,1,1,4,4,2,4,4,2,1,1,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,34,5,1,1,2,1,31,0,141,13,14,4,4,4,4,4,4,4,4,3,5,5,5,5,1,2,1,1,1,1,1,0,1,2,0,0,5,0,0,0,0,0,5,0,1,0,1,1,2,2,2,2,2,1,2,2,2,2,2,2,2,2,3,1,3,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,35,5,3,5,1,2,6,4,20,4,9,1,1,1,1,3,3,2,2,2,0,0,1,1,8,1,2,0,0,1,1,2,1,0,2,0,2,3,1,2,4,4,4,2,4,4,4,1,4,4,4,4,4,4,4,4,4,2,4,4,3,1,4,3,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,35,5,1,1,1,1,31,0,23,21,34,4,4,4,4,4,4,4,4,1,4,1,5,5,2,2,2,3,2,3,2,1,1,0,0,5,1,0,7,5,1,0,0,0,1,0,2,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,6,1,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,36,5,2,4,1,4,3,3,10,4,9,1,2,3,1,1,3,2,1,2,1,2,1,1,8,1,1,2,5,2,2,2,2,3,2,3,1,2,1,2,4,1,1,2,1,4,2,4,4,4,4,2,4,4,4,4,2,3,4,4,3,1,3,3,2,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,36,5,1,1,1,1,11,1,142,11,22,4,4,2,4,3,4,4,4,3,1,1,3,1,1,4,1,3,1,3,1,1,1,2,0,5,1,0,6,0,1,0,1,5,1,1,3,3,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,3,4,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,37,5,3,5,1,2,5,4,1,4,4,1,2,1,1,1,3,1,1,1,2,3,1,1,1,1,2,4,2,1,1,2,2,2,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,2,2,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,37,5,1,1,1,1,31,1,111,11,42,4,4,4,4,4,4,4,4,1,5,2,5,3,5,4,1,3,1,3,1,1,2,2,0,0,2,0,6,0,0,0,2,0,2,1,3,3,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,38,5,2,3,2,4,10,1,4,4,4,2,3,1,2,1,0,2,1,1,2,3,2,0,8,1,3,0,3,2,2,2,1,3,1,1,1,1,1,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,3,2,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,38,5,1,2,2,1,11,1,142,33,3,0,0,0,0,0,0,0,0,3,5,1,5,5,1,4,1,2,1,2,1,1,2,2,1,5,3,5,4,0,0,5,0,5,2,1,3,3,2,2,2,1,2,2,2,2,2,1,2,2,2,2,3,3,5,4,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,39,5,1,1,2,4,3,3,30,4,9,1,2,1,1,1,3,3,2,2,3,2,1,3,8,1,3,2,3,3,3,2,2,4,4,2,2,2,2,3,4,1,2,2,4,1,2,1,4,4,0,0,0,0,0,0,0,0,0,0,2,1,4,3,2,3,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,39,5,3,1,1,1,32,1,113,33,1,4,4,3,4,4,4,4,4,1,4,2,5,2,2,3,3,3,3,3,1,1,2,2,0,5,1,0,5,0,3,5,0,0,2,1,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,4,6,2,3,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,40,5,3,5,2,2,7,4,999,4,4,1,2,2,1,1,3,1,1,0,2,0,1,1,8,1,3,0,0,1,1,1,1,0,2,2,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,40,5,1,1,2,1,20,0,41,10,0,0,0,0,0,0,0,0,0,1,0,1,1,2,5,0,2,2,1,2,3,1,0,0,1,0,8,0,1,0,0,0,0,0,1,0,3,3,2,2,2,2,2,2,2,2,2,1,2,2,2,1,6,5,5,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,41,5,2,5,3,4,3,1,999,4,10,2,1,1,2,3,3,1,2,2,2,3,1,2,8,1,2,0,3,2,2,2,0,0,2,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,3,3,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,41,5,1,1,2,1,11,0,12,11,20,0,0,0,0,0,0,0,0,1,1,1,2,5,3,3,2,3,1,3,1,1,1,2,0,0,0,0,0,0,0,0,0,0,2,0,2,3,2,2,2,2,2,1,2,1,2,2,2,2,2,0,2,3,3,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,42,5,3,5,1,1,3,5,999,4,4,1,2,2,2,0,0,2,1,0,2,0,0,0,0,0,0,0,2,1,1,3,0,0,1,1,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,3,2,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,42,5,0,0,0,0,0,0,43,30,0,0,0,0,0,0,0,0,0,1,2,1,2,1,1,2,0,2,0,2,0,0,1,2,7,5,1,5,0,5,0,5,0,0,0,0,3,3,2,2,2,2,1,2,2,2,2,1,2,2,2,0,3,2,3,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,43,5,1,0,1,4,10,1,4,4,4,0,1,3,3,1,3,2,2,1,2,3,1,3,0,1,1,2,2,2,2,1,2,2,2,0,2,2,2,2,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,4,3,1,1,0,0,0,2,101,43,5,1,0,0,1,3,1,1,2,1,3,3,2,2,1,4,4,4,4,4,4,4,4,1,1,1,1,1,5,2,2,3,2,3,1,2,2,2,0,95,3,2,0,1,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,1,1,6,3,5,4,3,1
1,101,44,5,2,5,1,4,8,2,3,4,4,1,1,1,1,3,3,2,1,1,2,2,1,1,8,1,1,2,3,1,1,1,1,3,1,1,1,1,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,3,3,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,44,5,1,1,2,1,31,1,141,12,44,4,4,4,4,4,4,4,4,1,2,2,5,4,1,2,1,1,1,1,1,0,2,1,0,0,0,0,9,9,0,0,0,0,2,3,3,3,2,2,2,2,2,2,1,2,2,2,2,2,2,2,4,2,3,0,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,45,5,2,6,3,4,9,1,10,4,8,1,1,2,3,0,0,0,1,1,2,3,1,1,8,1,1,2,3,2,1,1,2,3,2,2,1,2,1,2,4,1,4,1,2,4,4,4,4,4,4,4,4,4,4,4,4,1,0,4,4,1,4,3,3,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,45,5,1,1,1,1,31,1,113,31,11,2,3,3,4,4,4,4,4,1,5,5,2,1,1,3,2,4,2,3,1,1,1,2,0,0,0,0,5,0,1,0,4,0,2,3,3,3,2,2,2,2,1,1,2,2,2,2,2,2,2,4,3,2,5,4,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,46,5,3,5,1,3,5,4,7,4,11,1,2,3,1,1,3,2,1,2,2,2,1,1,8,1,2,1,3,1,2,2,1,4,2,4,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,3,2,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,46,5,1,1,1,1,2,0,111,12,44,4,4,4,4,4,4,4,4,1,1,1,2,2,5,2,1,2,1,2,1,1,1,2,0,0,0,0,7,0,1,5,1,5,2,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,3,3,4,0,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,47,5,3,5,1,2,6,4,3,4,4,1,2,3,2,1,3,1,1,1,2,3,1,2,9,2,2,2,3,1,2,1,1,0,2,3,1,2,1,1,4,1,4,1,1,4,1,4,1,4,1,4,4,1,1,4,1,2,2,1,4,1,2,2,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,47,5,1,1,1,1,11,0,211,11,22,4,4,4,4,4,4,4,4,1,1,1,2,5,1,2,2,3,2,3,1,0,1,2,0,5,0,5,9,0,0,0,0,0,1,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,1,4,2,4,0,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,48,5,1,2,2,4,10,2,3,4,4,1,2,2,2,1,3,2,1,1,2,3,1,3,8,1,3,0,2,2,3,1,2,0,2,5,2,2,1,3,4,4,4,4,4,4,4,4,1,4,4,2,4,1,4,4,4,4,1,4,3,1,1,3,3,1,1,1,1,2,101,48,5,1,1,2,1,0,1,1,1,1,2,2,3,1,3,3,0,0,0,0,0,0,0,1,1,1,5,2,1,3,2,2,2,2,1,0,1,2,5,40,55,0,0,1,0,3,3,2,2,2,2,2,2,1,2,2,1,2,2,2,3,4,3,0,0,4,1
1,101,49,5,1,5,2,4,10,1,7,4,4,1,2,1,1,1,3,2,1,1,2,2,1,1,8,1,2,2,2,2,2,1,2,1,1,1,1,2,1,2,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,4,2,3,3,3,1,1,1,1,2,101,49,5,1,1,1,1,1,1,1,2,4,1,1,1,1,2,4,2,3,4,3,4,4,4,1,2,1,2,1,1,2,1,2,1,2,1,1,2,2,0,90,5,5,0,1,1,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,2,3,3,4,2,3,1
1,101,50,5,3,5,2,3,4,4,5,4,4,1,2,1,1,1,3,1,2,1,2,3,1,2,8,1,3,2,2,2,1,1,1,1,2,3,3,2,2,2,4,4,4,1,4,4,4,4,1,4,4,3,1,4,1,4,4,1,1,4,4,1,3,3,2,1,1,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,50,5,1,1,2,1,31,1,241,11,22,4,4,4,4,4,4,4,4,1,1,5,5,2,1,3,1,3,1,3,1,3,1,2,1,0,5,0,3,0,1,0,0,0,1,1,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,1,3,3,5,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,51,5,2,6,1,4,1,3,6,4,4,1,2,1,1,3,4,1,2,2,2,3,1,1,8,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,4,4,1,1,1,4,1,1,1,1,1,1,4,1,1,4,4,1,1,1,3,3,4,3,3,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,51,5,1,1,1,1,1,1,142,21,11,2,2,3,4,4,4,4,4,1,1,1,5,2,2,2,2,3,1,3,2,1,1,2,0,2,8,0,1,5,0,3,0,0,1,1,3,3,2,2,2,2,2,2,2,1,2,2,2,2,1,3,5,5,3,5,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,52,5,2,5,2,4,1,3,4,4,4,2,2,3,1,3,3,2,2,1,2,3,1,1,8,1,2,2,2,2,1,1,1,3,1,1,1,2,1,1,1,1,1,1,1,1,4,1,1,1,4,1,4,4,1,4,4,1,1,1,4,1,4,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,52,5,1,1,2,1,11,1,223,33,43,4,4,3,0,4,4,4,4,1,5,1,3,1,1,4,1,2,1,2,1,1,1,2,0,5,9,0,0,2,0,2,0,1,1,1,3,3,2,2,2,2,2,2,1,2,1,2,2,2,2,1,3,3,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,53,5,2,1,1,4,4,4,5,4,11,1,1,2,2,1,3,1,1,1,3,4,1,1,1,1,1,1,3,2,2,2,1,3,1,1,3,2,3,3,4,1,4,1,1,4,4,4,4,4,1,2,4,4,4,1,1,1,1,1,4,1,1,3,3,3,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,53,5,1,1,2,1,11,4,141,12,11,0,1,4,4,2,4,4,4,1,1,1,4,3,1,3,3,4,3,3,2,2,2,2,0,0,0,0,9,9,0,0,0,0,1,4,3,3,2,2,2,2,2,1,1,2,2,2,2,2,2,3,3,3,3,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,54,5,1,4,1,4,1,3,3,4,4,1,2,1,1,1,3,2,2,1,2,2,1,2,9,1,2,4,2,1,1,1,2,3,2,5,3,2,2,3,4,1,4,1,4,2,1,1,1,4,1,2,2,1,1,4,4,1,1,4,3,1,2,3,3,1,1,3,3,2,101,54,5,1,1,2,1,1,1,0,1,4,1,1,2,1,4,4,4,4,4,4,4,4,2,3,5,1,2,5,1,2,2,2,2,2,1,1,1,2,5,60,25,8,2,2,0,3,3,2,2,2,1,2,2,2,2,2,2,2,2,1,3,5,5,0,0,4,1
1,101,55,5,3,5,3,3,5,4,10,4,13,1,2,2,2,3,3,2,1,1,1,1,1,1,8,1,2,4,3,3,2,1,2,3,1,1,1,2,1,1,4,4,4,3,4,4,4,4,4,1,4,2,2,4,1,1,1,1,1,1,2,1,1,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,55,5,1,1,1,1,12,1,121,11,22,2,3,4,4,2,4,4,2,1,2,1,4,4,2,2,1,2,1,2,2,2,2,2,0,0,0,0,9,9,0,0,0,0,2,3,3,1,2,2,2,2,1,2,1,2,2,2,2,2,2,4,1,1,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,56,5,1,5,3,4,2,2,3,5,5,2,1,1,3,1,3,2,1,1,2,3,1,2,8,3,3,2,3,3,3,1,1,3,2,2,2,2,2,2,1,4,4,4,1,4,4,1,1,1,1,1,4,1,1,4,4,1,1,4,3,1,1,3,2,1,1,1,1,2,101,56,5,1,1,1,1,2,1,1,1,1,2,3,1,2,4,3,4,4,4,4,4,4,4,1,1,1,5,1,5,2,1,3,1,2,1,1,1,2,15,30,50,5,0,1,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,2,2,5,4,5,2,3,1
1,101,57,5,2,6,1,3,12,3,7,4,6,1,1,3,1,1,3,2,2,1,2,3,1,2,8,1,2,2,5,2,1,2,2,0,2,2,1,2,1,2,4,1,4,1,4,1,1,4,1,1,2,2,1,4,1,4,4,2,1,4,4,1,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,57,5,1,1,1,1,11,1,111,11,22,2,4,2,4,2,4,4,4,3,1,1,5,1,1,4,1,2,1,2,1,1,1,1,0,0,2,0,8,0,0,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,6,3,4,3,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,58,5,2,4,1,3,1,4,4,4,4,1,2,3,1,1,3,1,1,1,2,2,2,1,9,2,2,2,3,1,1,2,2,3,2,4,2,2,2,3,1,1,2,4,4,1,2,1,2,1,1,2,1,1,2,1,1,2,1,4,2,2,3,3,3,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,58,5,1,1,2,1,11,1,122,12,22,4,4,2,4,4,4,4,4,1,1,1,1,1,1,3,1,2,1,3,1,1,1,1,0,5,1,0,5,0,2,0,1,5,2,3,2,3,2,2,2,2,2,1,2,2,2,2,2,2,1,2,4,3,0,0,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,59,5,1,3,2,3,4,4,4,5,5,2,0,2,1,1,3,2,1,1,2,2,1,1,8,2,2,2,3,2,2,2,0,4,1,1,1,2,1,2,4,4,4,4,4,1,4,1,4,4,4,1,4,4,4,4,4,0,4,4,2,1,1,3,2,1,1,1,1,2,101,59,5,1,1,3,1,0,1,0,1,4,2,1,2,1,4,4,4,3,4,3,3,4,4,1,1,1,4,1,1,4,3,3,1,2,1,0,1,2,0,10,80,10,0,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,3,2,5,4,3,1
1,101,60,5,1,5,1,4,4,1,2,4,4,1,2,2,1,1,3,1,1,1,2,3,1,3,8,1,2,2,5,2,1,2,0,0,1,1,1,2,1,2,4,1,4,4,4,1,4,4,4,4,1,4,4,1,4,4,4,4,4,4,3,1,4,3,2,2,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,101,60,5,2,1,2,1,1,0,40,1,44,4,4,4,4,4,4,4,4,3,5,1,5,3,1,3,2,3,1,2,0,0,0,1,0,5,6,5,2,5,0,5,0,0,2,3,4,4,2,2,2,2,1,2,2,2,2,2,2,2,2,3,6,3,3,4,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,101,61,5,2,6,3,4,12,1,4,4,4,2,2,1,3,1,3,2,1,2,1,1,3,1,9,3,2,4,6,1,1,2,1,1,3,3,4,2,4,4,3,4,3,1,0,4,1,4,4,4,4,3,4,4,4,3,3,4,4,4,1,1,1,3,3,2,1,2,1,2,101,61,5,2,2,2,1,3,1,1,1,4,0,1,3,4,3,4,3,4,4,4,4,4,4,3,1,2,5,5,1,3,1,1,1,3,1,1,1,2,0,0,99,0,0,1,3,1,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,3,3,5,3,4,1
